INPUT:text_id	INPUT:text	GOLDEN:is_correct
0	‼ (a double exclamation mark, Unicode character U+203C) may refer to as:	no
1	!!! ( ch(i)k-ch(i)k-ch(i)k), also known as Chk Chk Chk, is an American rock band from Sacramento, California, formed in 1996 by lead singer Nic Offer. Members of !!! came from other local bands such as the Yah Mos, Black Liquorice and Pope Smashers. They are currently based in New York City. The band's eighth album, Wallop, was released in August 2019.	yes
2	"!!! is an American band formed in the fall of 1996 by the merger of members of the groups Black Liquorice and Popesmashers. After a successful joint tour, the two bands decided to mix the disco-funk with more aggressive sounds and integrate the hardcore singer Nic Offer from the Yah Mos. The band's name was inspired by the subtitles of the movie The Gods Must Be Crazy, in which the clicking sounds of the San people's Juǀʼhoan language were represented as ""!"". However, as the bandmembers themselves say, !!! is pronounced by repeating thrice any monosyllabic sound. ""Chk Chk Chk"" is the most common pronunciation, and the URL of their official website and the title of their Myspace page suggest it is the preferred pronunciation."	yes
3	"The band's full-length debut record came out in 2000 as a self-titled album on the label Gold Standard Laboratories. This was followed in 2003 by the single ""Me and Giuliani Down By the School Yard"", a lengthy track combining house beats with sinewy basslines, psychedelic guitars, and simple lyrics which quote the title song of the musical Footloose /displaystyle/displaystyle."	no
4	"A second full-length, Louden Up Now, was released on Touch and Go in America and on Warp Records in Europe in June 2004. In June 2005 !!! released a new EP covering ""Take Ecstasy with Me"" by The Magnetic Fields, and ""Get Up"" by Nate Dogg. The following December, the original drummer for the band, Mikel Gius, was struck and killed by a car while riding his bike. Also they"	no
5	They released their third album, Myth Takes in 2007.	yes
6	!!! is composed of Mario Andreoni (guitar), Dan Gorman (horns/percussion/keys), Nic Offer (vocals), Rafael Cohen (bass/various electronic devices), Chris Egan (drums) and Meah Pace (vocals).	yes
7	Vocalist and drummer John Pugh officially left the band in July 2007 to concentrate on his new band Free Blood.Vocalist Shannon Funchess stood in for Pugh during much of their 2007 tour. The band also shared membership with the similar, defunct group Out Hud (including Tyler Pope, who has played with LCD Soundsystem and written music for Cake).	yes
8	!!! is the eponymous debut studio album by dance-punk band !!!. It was released in 2000 on Gold Standard Laboratories on vinyl, and saw wide release on CD on June 19, 2001.	yes
9	"Johnny Loftus, from AllMusic states ""On this [album], !!! trash the axiom that says bands influenced by angular post-punk must be populated by dour misanthropes who sport wallet photos of Ian Curtis. Highly recommended."""	yes
10	!Action Pact! was a London-based punk rock band, formed in 1981 by guitarist Wild Planet, bassist Kim Igoe, George Cheex, and drummer Joe Fungus.	yes
11	"!Action Pact! was from Stanwell in Middlesex, and was also originally named Bad Samaritans. In 1981 they changed their name to !Action Pact!. The John from Dead Mans Shadow (D.M.S.) was Bad Samaritan's original lead singer, and he left to concentrate on D.M.S., before the name change.  He was replaced by George Cheex, who got the job because of ""her courage to scream along with the band's songs.""  They contributed two songs to the EP Heathrow Touchdown which was released in October, 1981, while George and Joe were still only 15 years old. ""London Bouncers"" and ""All Purpose Action Footwear"", got the attention of BBC Radio 1 DJ John Peel.  He played their songs often and he convinced the band to record their first full session, which they did on 22 February 1982. They recorded ""People"", ""Suicide Bag"", ""Mindless Aggression"", ""Losers"", and ""Cowslick Blues"". The resulting demo tape caught the attention of the fledgling label Fall Out Records, which signed the band as the first act on its roster.  !Action Pact!'s label debut, the Suicide Bag EP, was released in July 1982 and rocketed to the top of the British punk chart."	yes
12	"The band would later be joined by drummer Grimly Fiendish and bassist Thistles, and producer Phil Langham would also moonlight on bass under the name Elvin Pelvin; whereas Kim Igoe, the bassist, continued on as a lyricist. The band split in 1986."	yes
13	In early 2016, Wild Pla	no
14	"Wild Planet managed the heavy rock band Purge, in which his son, Mark Stanley, plays bass guitar; Purge has sometimes played a live cover version of !Action Pact!'s ""London Bouncers"". Joe Fungus also played with the punk band called Savage Upsurge."	yes
15	Chardst positionsa_ shown are from the UK Indie Chartsda, but.	no
16	!Arriba! La Pachanga is an album by Mongo Santamaría, published by Fantasy Records in 1959.	yes
17	"!HERO is a 2003 Christian rock opera about Jesus. It is based on the question, ""What if Jesus was born in Bethlehem, Pennsylvania?"". After the original tour in 2003 ended, it was released on DVD, CD, and was written into a trilogy of novels and series of comic books. It is intersting that ??????"	no
18	!HERO is a rock opera modernizing Jesus's last two years of life, as narrated in the Bible. The story takes place in New York City, in Brooklyn. The world government in this near-future dystopic Earth is centered under the International Confederation of Nations (ICON). Under the iron fist of I.C.O.N., nearly all religion in the world has been wiped out, except for small occult and mystic sects. Only one synagogue in Brooklyn exists. Currently, New York City is a police-occupied warzone between ethnic gangs and small, isolated revolutionary groups fighting I.C.O.N. Of all the ancient world religions, only Judaism survives and flourishes, at least, as much as it can.	yes
19	In Bethlehem, PA, a child named Jesus, but referred to as HERO, is born and forced to flee with his family to the small Jewish section of Brooklyn. Jesus grows up and begins to preach and teach the principles of Christianity to the people of New York City, teaching people to love their enemies and care for each other. I.C.O.N. realizes HERO is a threat, and the Chief of police Devlin (a derivative of the Devil or Satan), with the help of chief Rabbi Kai (Caiaphas), conspire to end HERO's revolutionary teachings.	yes
